H,a,b,n,목표,손절,미도달,불명,비관,낙관,하한3d,하한1d,하한7d
72,1.0,1.0,433,31.177829099307157,56.35103926096998,0.0,12.471131639722865,-0.6817947650193635,-0.43237213222490584,-0.8331444566431815,-0.8084597458083719,-0.8162414549138063
72,1.0,2.0,433,51.73210161662818,39.4919168591224,0.0,8.775981524249422,-0.7502934005237551,-0.48701395479626997,-0.9702685853907421,-0.9436381315666921,-0.9756493131813548
72,1.0,3.0,433,61.89376443418014,29.330254041570434,0.9237875288683602,7.852193995381063,-0.8115856208021311,-0.4974978609868872,-1.1312074302258273,-1.0689938553452847,-1.1281566543652197
72,1.0,5.0,433,71.13163972286374,19.168591224018474,2.771362586605081,6.928406466512701,-0.9314081040719778,-0.5157037160812135,-1.4818200362000138,-1.3781851071188636,-1.4548044286022723
72,2.0,1.0,433,26.096997690531175,66.28175519630484,0.0,7.621247113163972,-0.5231656619154149,-0.2945282485204929,-0.7744621338812492,-0.724209676297343,-0.7959382438906611
72,2.0,2.0,433,42.725173210161664,53.11778290993071,0.23094688221709006,3.9260969976905313,-0.5908000904491947,-0.43375621054157226,-0.9918386240206153,-0.8755964736442895,-0.9169618131654578
72,2.0,3.0,433,55.65819861431871,40.184757505773675,1.3856812933025404,2.771362586605081,-0.4954628407699947,-0.35689471143973994,-0.9115719047974533,-0.9161100498536516,-0.9038702154588215
72,2.0,5.0,433,63.74133949191686,28.63741339491917,5.542725173210162,2.0785219399538106,-0.6531527893228181,-0.5076562535260509,-1.2143136558547287,-1.1726019207609366,-1.1637621283617277
72,3.0,1.0,433,19.861431870669747,72.05542725173211,0.23094688221709006,7.852193995381063,-0.5095395651484407,-0.1954518053331953,-0.757972947065424,-0.6893898497483822,-0.758409388884494
72,3.0,2.0,433,33.48729792147806,61.89376443418014,0.9237875288683602,3.695150115473441,-0.6096168781268169,-0.4248593723531431,-1.0328174666192664,-0.8994423216467812,-0.8044865038209217
72,3.0,3.0,433,47.11316397228637,48.03695150115473,3.695150115473441,1.1547344110854503,-0.3959232666478888,-0.3266392019827615,-0.8310499012256728,-0.7856378079486721,-0.664580514547232
72,3.0,5.0,433,56.12009237875289,33.71824480369515,9.468822170900692,0.6928406466512702,-0.4730037238978671,-0.41757647216576554,-1.0527931082047635,-0.9548919935363199,-0.8106901071471387
72,5.0,1.0,433,14.318706697459586,77.82909930715935,0.4618937644341801,7.390300230946882,-0.4342893777476831,0.00912863610913189,-0.8025651771542172,-0.6844875333899499,-0.6312648097916549
72,5.0,2.0,433,25.17321016166282,69.9769053117783,1.6166281755196306,3.233256351039261,-0.4988481932287086,-0.27252024865595703,-1.1039068843258628,-0.9117622961011475,-0.7081916127563526
72,5.0,3.0,433,35.56581986143187,56.35103926096998,6.928406466512701,1.1547344110854503,-0.281121333204752,-0.18874258031791583,-0.8828085275037856,-0.7576828099708504,-0.659322351726332
72,5.0,5.0,433,42.032332563510394,42.725173210161664,14.549653579676674,0.6928406466512702,-0.47740628642692995,-0.40812222176180285,-1.2908141127339454,-1.0998459907704243,-0.9210454129582029
