H,a,b,실제비관,위약비관,차비관,실제낙관,위약낙관,차낙관
24,3.0,5.0,-1.0477596139691332,-0.22515735759983116,-0.8226022563693021,-0.2144262806357966,0.02639557115076369,-0.2408218517865603
24,5.0,1.0,-0.4437628188949337,-0.14575653906211047,-0.29800627983282324,1.8617927366606328,0.811020253812648,1.050772482847985
24,5.0,2.0,-0.5106296641077476,-0.053460710378136655,-0.4571689537296109,0.8342777432996593,0.34083232811241454,0.4934454151872448
24,5.0,3.0,-0.40251055906019967,-0.0035490895823988467,-0.3989614694778008,0.560452403902762,0.23775001639894047,0.3227023875038215
24,5.0,5.0,-0.8172163139841323,0.06260811966306978,-0.8798244336472021,-0.19221631398413,0.23311509875103475,-0.4253314127351647
48,0.5,1.0,-1.0118055555555623,-0.7996611099078007,-0.21214444564776158,-0.10208333333333185,-0.12534654443206134,0.02326321109872949
48,0.5,2.0,-1.392073923707689,-1.1327428412351228,-0.2593310824725661,-0.15364799778175992,-0.2151484975508481,0.061500499769088196
48,0.5,3.0,-1.8359458553427113,-1.4477600166137399,-0.3881858387289714,-0.22367733682419796,-0.2316611904324742,0.007983853608276248
48,0.5,5.0,-2.657032506455791,-2.0748718686619005,-0.5821606377938906,-0.2762454694187669,-0.21545266179908476,-0.060792807619682115
48,1.0,1.0,-0.9203703703703766,-0.6003404181847835,-0.32002995218559316,0.09351851851851828,-0.022333308982052352,0.11585182750057063
48,1.0,2.0,-1.1895276274113977,-0.7449332188409705,-0.4445944085704272,-0.1270276274113905,-0.1626259813815477,0.035598353970157204
48,1.0,3.0,-1.412023885756177,-0.8641506990416989,-0.5478731867144782,-0.2083201820524712,-0.18131614409322389,-0.0270040379592473
48,1.0,5.0,-1.9744915539042238,-1.0994182354192303,-0.8750733184849935,-0.3633804427931186,-0.14614280625633064,-0.21723763653678796
48,2.0,1.0,-0.6999086958946298,-0.4023743646646776,-0.2975343312299522,0.5709246374387045,0.1901865958382869,0.3807380416004176
48,2.0,2.0,-0.8671220128688103,-0.4338020663573797,-0.4333199465114306,0.12361872787193537,-0.04763155320559123,0.1712502810775266
48,2.0,3.0,-0.8673960489913711,-0.4242480317813407,-0.44314801721003044,0.07010395100863258,-0.06861276697931461,0.13871671798794719
48,2.0,5.0,-1.255817945316702,-0.41415390708622035,-0.8416640382304816,-0.23498461198336656,-0.008936264407504845,-0.22604834757586173
48,3.0,1.0,-0.6449589832037007,-0.3020381581368951,-0.3429208250668056,0.9754113871666683,0.39742586033091676,0.5779855268357516
48,3.0,2.0,-0.7653960127935909,-0.2787721647708394,-0.48662384802275155,0.3341410242434511,0.07940525566392125,0.25473576857952984
48,3.0,3.0,-0.6642553792628201,-0.235187111971421,-0.4290682672913991,0.2385223985149612,0.036380319799821065,0.20214207871514014
48,3.0,5.0,-0.9511869398762962,-0.14398830453227793,-0.8071986353440183,-0.11785360654295894,0.11292859031276642,-0.23078219685572537
48,5.0,1.0,-0.4885211949949576,-0.14907385925529185,-0.3394473357396658,1.817034360560609,0.8187478607214617,0.9982864998391473
48,5.0,2.0,-0.5357061808204404,-0.0513864100148633,-0.4843197708055771,0.8092012265869651,0.34647295753361623,0.4627282690533489
48,5.0,3.0,-0.38534201551135105,0.03645198012613546,-0.42179399563748654,0.5776209474516095,0.27914126696525865,0.2984796804863509
48,5.0,5.0,-0.6869864583656046,0.1853269276650559,-0.8723133860306604,-0.06198645836560317,0.3567603722396888,-0.418746830605292
72,0.5,1.0,-1.0124711316397297,-0.8021080636888672,-0.21036306795086246,-0.10138568129330106,-0.12436237219302285,0.02297669089972179
72,0.5,2.0,-1.394170750673722,-1.137366389693791,-0.2568043609799311,-0.1528312587568598,-0.214342052905722,0.06151079414886221
72,0.5,3.0,-1.836951501154727,-1.4542465077060505,-0.3827049934486766,-0.22032332563510246,-0.23078771763144584,0.010464391996343386
72,0.5,5.0,-2.651234804380102,-2.082232107782902,-0.5690026965972002,-0.2632440422554045,-0.21143762753644035,-0.05180641471896413
72,1.0,1.0,-0.9212471131639787,-0.6040251041250476,-0.31722200903893105,0.09491916859122378,-0.022020902150018788,0.11694007074124256
72,1.0,2.0,-1.1920922287337727,-0.7523747201655343,-0.43971750856823844,-0.12511763289080996,-0.16514614787153345,0.04002851498072349
72,1.0,3.0,-1.419392636092306,-0.865144522308214,-0.5542481137840919,-0.20923097327475207,-0.1765793825165779,-0.03265159075817417
72,1.0,5.0,-1.9515199946240367,-1.0851838793793025,-0.8663361152447342,-0.33027288146006945,-0.12345098070121242,-0.20682190075885704
