H,a,b,n,목표,손절,미도달,불명,비관,낙관,하한3d,상한3d,하한1d,하한7d
24,3.0,1.0,432,15.972222222222221,40.97222222222222,2.5462962962962963,40.50925925925926,-0.6258777148352264,0.9944926555351427,-0.8478488640441395,-0.37669074923294704,-0.8120752860612485,-0.8670131087034272
24,3.0,2.0,432,27.77777777777778,42.592592592592595,7.638888888888889,21.99074074074074,-0.7633641875522389,0.33617284948480297,-1.1714232450359008,-0.32857156817457234,-1.043471201784582,-1.00340274984047
24,3.0,3.0,432,38.657407407407405,33.7962962962963,12.5,15.046296296296296,-0.662323234630954,0.24045454314682674,-1.0947260340431542,-0.23424353070837628,-1.0650857789987156,-1.0221785337990354
24,3.0,5.0,432,43.51851851851852,25.0,21.064814814814813,10.416666666666668,-1.0477596139691332,-0.2144262806357966,-1.6430363373461478,-0.508241138241248,-1.6133116809175725,-1.649315689840487
24,5.0,1.0,432,12.962962962962962,43.75,4.861111111111112,38.425925925925924,-0.4437628188949337,1.8617927366606328,-0.7825500337046044,0.0008306353379392519,-0.6920171075544933,-0.6950102478196696
24,5.0,2.0,432,21.52777777777778,47.22222222222222,12.037037037037036,19.212962962962962,-0.5106296641077476,0.8342777432996593,-1.0804701610995737,0.2091448401583391,-0.8895172415943015,-0.8175487449192421
24,5.0,3.0,432,28.703703703703702,38.88888888888889,20.37037037037037,12.037037037037036,-0.40251055906019967,0.560452403902762,-1.0167668373355447,0.32672353035641755,-0.8756322066489881,-0.8216506630984076
24,5.0,5.0,432,32.175925925925924,31.25,30.324074074074076,6.25,-0.8172163139841323,-0.19221631398413,-1.5462393483246573,0.05778988732537254,-1.4202425814330784,-1.3369692890832843
48,0.5,1.0,432,19.212962962962962,20.13888888888889,0.0,60.64814814814815,-1.0118055555555623,-0.10208333333333185,-1.0985142883145307,-0.9176411050250116,-1.0997716627634735,-1.0796460176991138
48,0.5,2.0,432,36.342592592592595,14.120370370370368,0.0,49.53703703703704,-1.392073923707689,-0.15364799778175992,-1.6094694790566615,-1.2295872910901429,-1.5663345971590845,-1.5652441117970852
48,0.5,3.0,432,41.66666666666667,12.037037037037036,0.23148148148148145,46.06481481481482,-1.8359458553427113,-0.22367733682419796,-2.215380731217177,-1.5718057440908346,-2.1102019634658484,-2.1169014084507114
48,0.5,5.0,432,47.22222222222222,7.87037037037037,1.6203703703703702,43.28703703703704,-2.657032506455791,-0.2762454694187669,-3.336406338180656,-2.164037514878011,-3.141167940639125,-3.2251114474658436
48,1.0,1.0,432,18.98148148148148,30.324074074074076,0.0,50.69444444444444,-0.9203703703703766,0.09351851851851828,-1.0419514532098415,-0.8167355222149816,-1.0333333333333405,-0.9900369003690079
48,1.0,2.0,432,37.03703703703704,27.546296296296298,0.0,35.41666666666667,-1.1895276274113977,-0.1270276274113905,-1.4166904986610023,-1.02169459842684,-1.3926275511149873,-1.4250946862089897
48,1.0,3.0,432,46.2962962962963,21.99074074074074,1.6203703703703702,30.09259259259259,-1.412023885756177,-0.2083201820524712,-1.778382215281805,-1.1473880221696786,-1.7446398434454786,-1.7547685875052337
48,1.0,5.0,432,51.85185185185185,15.046296296296296,6.25,26.851851851851855,-1.9744915539042238,-0.3633804427931186,-2.6528729543979437,-1.4763835239668923,-2.5638686625076708,-2.6281124276894103
48,2.0,1.0,432,19.90740740740741,37.5,0.23148148148148145,42.36111111111111,-0.6999086958946298,0.5709246374387045,-0.9401895904632197,-0.48983148332659693,-0.8993370086754238,-0.9630812028370443
48,2.0,2.0,432,35.18518518518518,39.120370370370374,0.9259259259259258,24.76851851851852,-0.8671220128688103,0.12361872787193537,-1.2741587938834715,-0.4908592809775167,-1.1697703907890185,-1.2640322786208298
48,2.0,3.0,432,47.22222222222222,31.48148148148148,2.5462962962962963,18.75,-0.8673960489913711,0.07010395100863258,-1.3794250602184905,-0.46246227970511894,-1.299457279471597,-1.379418128351478
48,2.0,5.0,432,53.00925925925925,22.916666666666664,9.49074074074074,14.583333333333334,-1.255817945316702,-0.23498461198336656,-1.9791314558885857,-0.7250894437519554,-1.8680618180328348,-2.0419354589047747
