runId,전략,코인페어,타임프레임,전체시작일,전체종료일,학습기간종료일,테스트기간종료일,초기자금,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,총거래,승리거래,패배거래,평균수익(%),평균손실(%),생성일시
180,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,,,1000000.00,AGG_OUT,18.53,14.89,-11.35,0.4272,1.1518,0.4322,47,,,,,2026-04-24 10:06:05
179,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 21:00:00,,1000000.00,W0_IN,0.17,20.0,-7.32,0.0843,0.1887,0.0429,5,,,,,2026-04-24 10:05:14
179,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 21:00:00,2022-11-06 19:00:00,1000000.00,W0_OUT,2.01,18.18,-15.52,0.4163,0.956,0.5816,11,,,,,2026-04-24 10:05:14
179,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,,1000000.00,W1_IN,-2.24,11.11,-9.38,-0.3526,-0.7516,-0.6633,9,,,,,2026-04-24 10:05:14
179,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,2023-09-12 22:00:00,1000000.00,W1_OUT,-6.54,0.0,-6.54,-3.5818,-3.5492,-5.3004,3,,,,,2026-04-24 10:05:14
179,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-17 00:00:00,,1000000.00,W2_IN,-5.11,15.38,-14.01,-0.415,-0.687,-0.7651,13,,,,,2026-04-24 10:05:14
179,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-17 00:00:00,2024-07-19 00:00:00,1000000.00,W2_OUT,6.3,33.33,-1.88,1.8916,11.972,25.4525,3,,,,,2026-04-24 10:05:14
179,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 22:00:00,,1000000.00,W3_IN,24.56,30.0,-3.35,1.8479,12.1294,16.8635,10,,,,,2026-04-24 10:05:14
179,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 22:00:00,2025-05-24 23:00:00,1000000.00,W3_OUT,4.78,25.0,-2.48,1.701,7.0903,18.1017,4,,,,,2026-04-24 10:05:14
179,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,,1000000.00,W4_IN,0.95,11.11,-6.15,0.2136,0.6433,0.3111,9,,,,,2026-04-24 10:05:14
