runId,전략,코인페어,타임프레임,시작일,종료일,초기자금,슬리피지(%),수수료(%),Walk-Forward,WF학습종료일,WF테스트종료일,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,손익비,회복계수,총거래,승리거래,패배거래,평균수익(%),평균손실(%),최대연속손실,생성일시
335,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-ETH,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,50.7300,14.93,-10.6300,0.6964,2.3678,1.0342,8.0748,4.7723,134,20,114,8.6400,-1.0700,12,2026-04-24 11:21:14
334,COMPOSITE_MOMENTUM,KRW-DOGE,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:21:03
333,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-ETH,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,30.9000,14.29,-10.9000,0.6113,2.1547,0.7113,9.1000,2.8349,70,10,60,9.1000,-1.0000,14,2026-04-24 11:20:39
332,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:20:30
331,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:20:00
330,COMPOSITE_BREAKOUT,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,17.7500,17.91,-22.5300,0.3237,0.7546,0.1897,5.5461,0.7878,67,12,55,8.4300,-1.5200,15,2026-04-24 11:19:49
329,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:19:17
328,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,124.7700,15.61,-30.7500,0.8662,2.7619,0.7497,8.0169,4.0576,173,27,146,14.1900,-1.7700,44,2026-04-24 11:19:14
327,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,48.8600,13.97,-34.5300,0.5853,1.6768,0.3107,8.1719,1.4150,136,19,117,10.4600,-1.2800,44,2026-04-24 11:18:56
326,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:18:54
325,COMPOSITE_BREAKOUT_ICHIMOKU,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,17.7500,17.91,-22.5300,0.3237,0.7546,0.1897,5.5461,0.7878,67,12,55,8.4300,-1.5200,15,2026-04-24 11:18:35
324,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:18:31
323,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:18:10
322,COMPOSITE_BREAKOUT,KRW-CHZ,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-23.7700,13.51,-26.8500,-0.5140,-0.9153,-0.2605,4.0051,-0.8853,37,5,32,7.9300,-1.9800,10,2026-04-24 11:18:00
321,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-SOL,H1,2022-01-01 00:00:00,2025-12-31 00:00:00,1000000.00,0.050,0.050,true,,,,,,,,,,,,,,,,,2026-04-24 11:17:31
320,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-CHZ,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-18.3800,9.09,-48.9400,-0.1275,-0.3416,-0.1035,9.0000,-0.3756,165,15,150,11.4300,-1.2700,43,2026-04-24 11:17:27
319,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-CHZ,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-12.7700,9.70,-39.3400,-0.0652,-0.1769,-0.0857,8.5156,-0.3246,134,13,121,10.9000,-1.2800,33,2026-04-24 11:17:09
