분석,signal,h,n_coins,incl,excl,n_obs,abs,abs_lo,abs_hi,diff,diff_lo,diff_hi,p_abs,p_diff,p_comb,invalid,verdict,p_holm,holm_sig
비용스트레스,S3,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,4626,-0.35595268149226855,-0.5480264123038748,-0.11522333477627991,0.12366889682097798,-0.06499000486019095,0.3569707959749277,1.0,0.12843578210894552,1.0,0.0,탈락,1.0,False
비용스트레스,S3,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,3444,-0.3917591509449686,-0.7203120678434433,0.008389755599096273,0.04962599930493829,-0.25492508807821423,0.4230454364586829,0.9910044977511244,0.37031484257871067,0.9910044977511244,0.0,탈락,1.0,False
비용스트레스,S3,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,2765,-0.3565107851341812,-0.7782301994746708,0.15461775875066552,0.03036911620922619,-0.3765835607455734,0.49798354312066645,0.9450274862568716,0.4432783608195902,0.9450274862568716,0.0,탈락,1.0,False
비용스트레스,S4,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,10677,-0.5153690136380327,-0.5832018508821689,-0.4479189345815521,-0.035747435324786185,-0.09792669353921944,0.025943274014599987,1.0,0.8740629685157422,1.0,0.0,탈락,1.0,False
비용스트레스,S4,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,8365,-0.5672838820978211,-0.7076176848160913,-0.4322736572554709,-0.12589873184791425,-0.23424909235188882,-0.016292367876764906,1.0,0.9875062468765617,1.0,0.0,탈락,1.0,False
비용스트레스,S4,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,6687,-0.3876741672744103,-0.6080376116416775,-0.17112414868531511,-0.0007942659310028979,-0.1560916017074699,0.1509431645137881,1.0,0.5177411294352824,1.0,0.0,탈락,1.0,False
비용스트레스,S5,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,13290,-0.48172250629112345,-0.5543077667238392,-0.41173490843359656,-0.002100927977876882,-0.061757741522537005,0.05717628186732748,1.0,0.5337331334332833,1.0,0.0,탈락,1.0,False
비용스트레스,S5,12,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,10221,-0.37739774325779324,-0.5230524729150982,-0.23851477824593809,0.06398740699211374,-0.03029474917707343,0.1638099794163988,1.0,0.09695152423788106,1.0,0.0,탈락,1.0,False
비용스트레스,S5,24,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,7895,-0.2696972876612572,-0.5133387077246976,-0.021757046355391843,0.1171826136821502,-0.008086392385018164,0.2494458257727762,0.9870064967516242,0.04297851074462768,0.9870064967516242,0.0,탈락,1.0,False
블록24,S1,4,13,"ADA,ARB,AVAX,BTC,DOGE,ETH,LINK,ONDO,SOL,STX,SUI,XLM,XRP",,15109,-0.33589056342037205,-0.3879957421986056,-0.2858099179753559,-0.056268985107125566,-0.09609014303768232,-0.015271947849405615,1.0,0.9995002498750625,1.0,0.0,탈락,1.0,False
