runId,전략,코인페어,타임프레임,시작일,종료일,초기자금,슬리피지(%),수수료(%),Walk-Forward,WF학습종료일,WF테스트종료일,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,손익비,회복계수,총거래,승리거래,패배거래,평균수익(%),평균손실(%),최대연속손실,생성일시
123,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-DOGE,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,136.7000,15.71,-33.3900,0.8443,2.5621,0.6829,7.3238,4.0940,210,33,177,15.3800,-2.1000,46,2026-04-24 09:19:53
122,COMPOSITE_BREAKOUT,KRW-CPOOL,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-6.5000,30.00,-12.0900,-0.7520,-1.0139,-1.6544,1.8386,-0.5376,10,3,7,8.0900,-4.4000,2,2026-04-24 09:19:14
121,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-CPOOL,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-38.5700,3.85,-38.5700,-4.3561,-4.9090,-1.9891,3.2978,-1.0000,26,1,25,5.8700,-1.7800,20,2026-04-24 09:19:07
120,FAIR_VALUE_GAP,KRW-CPOOL,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,22.9200,14.95,-25.5500,0.9771,2.2468,2.5102,6.4112,0.8971,107,16,91,12.6300,-1.9700,16,2026-04-24 09:19:03
119,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-CPOOL,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-29.2700,4.17,-29.2700,-3.6652,-4.6546,-2.0313,4.3121,-1.0000,24,1,23,6.7700,-1.5700,18,2026-04-24 09:19:02
118,COMPOSITE_BREAKOUT,KRW-BTC,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,99.3900,21.43,-9.7200,1.1508,4.6407,1.9032,8.3475,10.2253,84,18,66,9.8500,-1.1800,10,2026-04-24 09:18:58
117,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-BTC,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,3.5200,10.74,-18.6000,0.1260,0.3939,0.0451,8.6500,0.1892,121,13,108,6.9200,-0.8000,27,2026-04-24 09:17:42
116,FAIR_VALUE_GAP,KRW-BTC,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-69.1000,17.98,-69.1000,-1.0798,-2.2544,-0.3502,3.3158,-1.0000,823,148,675,1.2600,-0.3800,19,2026-04-24 09:16:51
115,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-BTC,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,6.5700,11.19,-23.6900,0.1747,0.5573,0.0653,8.3953,0.2773,143,16,127,7.2200,-0.8600,30,2026-04-24 09:16:37
114,COMPOSITE_BREAKOUT,KRW-BIO,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-0.5400,28.57,-20.6700,0.1603,0.2824,-0.1132,2.4410,-0.0261,7,2,5,10.9600,-4.4900,5,2026-04-24 09:15:49
113,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-BIO,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,37.3000,25.00,-6.8300,2.1266,8.6315,25.7585,7.9521,5.4612,16,4,12,14.9500,-1.8800,3,2026-04-24 09:15:43
112,FAIR_VALUE_GAP,KRW-BIO,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,28.4200,16.43,-27.8800,1.1141,3.0008,2.8532,5.8726,1.0194,140,23,117,9.2200,-1.5700,19,2026-04-24 09:15:39
111,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-BIO,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,18.3900,23.08,-5.9800,1.4980,4.8843,12.5546,6.7127,3.0753,13,3,10,12.1500,-1.8100,3,2026-04-24 09:15:37
110,COMPOSITE_BREAKOUT,KRW-AXL,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-29.7500,6.67,-29.7500,-2.9558,-3.2497,-1.2834,3.3893,-1.0000,15,1,14,9.4900,-2.8000,8,2026-04-24 09:15:34
109,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-AXL,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-16.5900,8.00,-20.4500,-1.1896,-2.0424,-1.1703,5.5714,-0.8112,25,2,23,7.8000,-1.4000,13,2026-04-24 09:15:21
108,FAIR_VALUE_GAP,KRW-AXL,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-2.5800,16.25,-36.1800,0.2331,0.5575,-0.0896,5.1053,-0.0713,240,39,201,6.7900,-1.3300,20,2026-04-24 09:15:13
107,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-AXL,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,0.3200,13.04,-20.6700,0.1655,0.4271,0.0243,6.7166,0.0155,23,3,20,12.5600,-1.8700,11,2026-04-24 09:15:11
106,COMPOSITE_BREAKOUT,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,99.6800,25.00,-14.1400,1.0082,4.7676,1.3478,8.4605,7.0495,48,12,36,12.8600,-1.5200,11,2026-04-24 09:15:04
105,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-15.3700,9.93,-31.7500,-0.1685,-0.4223,-0.1229,7.9798,-0.4841,141,14,127,7.9000,-0.9900,29,2026-04-24 09:13:53
104,FAIR_VALUE_GAP,KRW-ADA,H1,2022-01-01 00:00:00,2026-04-23 00:00:00,10000000.00,0.100,0.050,false,,,FULL,-77.8500,15.90,-80.2900,-0.6343,-1.4779,-0.3739,4.4655,-0.9696,1025,163,862,2.5900,-0.5800,32,2026-04-24 09:13:13
